N	rep	n_lines	threshold	chromosome
208093	18	32	0.05	2R
192995	18	32	0.05	3L
163225	18	32	0.05	3R
131349	18	32	0.05	X
93462	18	32	0.125	2L
59192	18	32	0.125	2R
74942	18	32	0.125	3L
78838	18	32	0.125	3R
60364	18	32	0.125	X
30110	18	32	0.25	2L
24049	18	32	0.25	2R
32068	18	32	0.25	3L
24345	18	32	0.25	3R
25074	18	32	0.25	X
209667	18	64	0.05	2L
181571	18	64	0.05	2R
194694	18	64	0.05	3L
162399	18	64	0.05	3R
125466	18	64	0.05	X
73622	18	64	0.125	2L
60318	18	64	0.125	2R
89724	18	64	0.125	3L
58818	18	64	0.125	3R
54169	18	64	0.125	X
26682	18	64	0.25	2L
24571	18	64	0.25	2R
39061	18	64	0.25	3L
21674	18	64	0.25	3R
21774	18	64	0.25	X
190084	18	128	0.05	2L
166729	18	128	0.05	2R
202790	18	128	0.05	3L
168032	18	128	0.05	3R
123895	18	128	0.05	X
71087	18	128	0.125	2L
61344	18	128	0.125	2R
80751	18	128	0.125	3L
57652	18	128	0.125	3R
51290	18	128	0.125	X
27044	18	128	0.25	2L
23193	18	128	0.25	2R
30021	18	128	0.25	3L
20145	18	128	0.25	3R
20923	18	128	0.25	X
22996	19	2	0.05	2L
30883	19	2	0.05	2R
34755	19	2	0.05	3L
42186	19	2	0.05	3R
13305	19	2	0.05	X
27116	19	2	0.125	2L
16964	19	2	0.125	2R
42556	19	2	0.125	3L
26732	19	2	0.125	3R
20157	19	2	0.125	X
27354	19	2	0.25	2L
11836	19	2	0.25	2R
33468	19	2	0.25	3L
11951	19	2	0.25	3R
46025	19	2	0.25	X
95562	19	4	0.05	2L
65063	19	4	0.05	2R
70188	19	4	0.05	3L
50915	19	4	0.05	3R
60262	19	4	0.05	X
46945	19	4	0.125	2L
39057	19	4	0.125	2R
48652	19	4	0.125	3L
55699	19	4	0.125	3R
35543	19	4	0.125	X
60335	19	4	0.25	2L
41171	19	4	0.25	2R
89303	19	4	0.25	3L
49648	19	4	0.25	3R
43888	19	4	0.25	X
113497	19	8	0.05	2L
134525	19	8	0.05	2R
162179	19	8	0.05	3L
108626	19	8	0.05	3R
87969	19	8	0.05	X
138870	19	8	0.125	2L
108510	19	8	0.125	2R
154764	19	8	0.125	3L
113222	19	8	0.125	3R
92143	19	8	0.125	X
53512	19	8	0.25	2L
41867	19	8	0.25	2R
68547	19	8	0.25	3L
31191	19	8	0.25	3R
29807	19	8	0.25	X
211241	19	16	0.05	2L
203298	19	16	0.05	2R
258132	19	16	0.05	3L
210986	19	16	0.05	3R
138191	19	16	0.05	X
88123	19	16	0.125	2L
89830	19	16	0.125	2R
114088	19	16	0.125	3L
75354	19	16	0.125	3R
68097	19	16	0.125	X
33878	19	16	0.25	2L
37236	19	16	0.25	2R
45189	19	16	0.25	3L
33418	19	16	0.25	3R
21441	19	16	0.25	X
194701	19	32	0.05	2L
134281	19	32	0.05	2R
202408	19	32	0.05	3L
171694	19	32	0.05	3R
115027	19	32	0.05	X
83857	19	32	0.125	2L
66291	19	32	0.125	2R
102568	19	32	0.125	3L
63265	19	32	0.125	3R
59538	19	32	0.125	X
30796	19	32	0.25	2L
23759	19	32	0.25	2R
38563	19	32	0.25	3L
24563	19	32	0.25	3R
25503	19	32	0.25	X
184742	19	64	0.05	2L
172145	19	64	0.05	2R
199855	19	64	0.05	3L
157852	19	64	0.05	3R
134581	19	64	0.05	X
77210	19	64	0.125	2L
70631	19	64	0.125	2R
81427	19	64	0.125	3L
57978	19	64	0.125	3R
49953	19	64	0.125	X
28846	19	64	0.25	2L
26361	19	64	0.25	2R
29885	19	64	0.25	3L
22065	19	64	0.25	3R
21192	19	64	0.25	X
194042	19	128	0.05	2L
167732	19	128	0.05	2R
205264	19	128	0.05	3L
168850	19	128	0.05	3R
124563	19	128	0.05	X
71855	19	128	0.125	2L
61531	19	128	0.125	2R
78581	19	128	0.125	3L
57314	19	128	0.125	3R
51175	19	128	0.125	X
27362	19	128	0.25	2L
23138	19	128	0.25	2R
30020	19	128	0.25	3L
20149	19	128	0.25	3R
20931	19	128	0.25	X
16586	2	2	0.05	2L
25504	2	2	0.05	2R
16621	2	2	0.05	3L
44858	2	2	0.05	3R
22440	2	2	0.05	X
21620	2	2	0.125	2L
18895	2	2	0.125	2R
35680	2	2	0.125	3L
23066	2	2	0.125	3R
17953	2	2	0.125	X
51075	2	2	0.25	2L
11831	2	2	0.25	2R
61059	2	2	0.25	3L
17736	2	2	0.25	3R
26718	2	2	0.25	X
114182	2	4	0.05	2L
41361	2	4	0.05	2R
124012	2	4	0.05	3L
63009	2	4	0.05	3R
59081	2	4	0.05	X
67375	2	4	0.125	2L
60734	2	4	0.125	2R
65346	2	4	0.125	3L
59373	2	4	0.125	3R
61614	2	4	0.125	X
62761	2	4	0.25	2L
62314	2	4	0.25	2R
126139	2	4	0.25	3L
75752	2	4	0.25	3R
64940	2	4	0.25	X
122256	2	8	0.05	2L
101992	2	8	0.05	2R
139019	2	8	0.05	3L
112142	2	8	0.05	3R
57421	2	8	0.05	X
133756	2	8	0.125	2L
123858	2	8	0.125	2R
149258	2	8	0.125	3L
106529	2	8	0.125	3R
82164	2	8	0.125	X
62227	2	8	0.25	2L
45891	2	8	0.25	2R
44222	2	8	0.25	3L
54997	2	8	0.25	3R
29285	2	8	0.25	X
237176	2	16	0.05	2L
184131	2	16	0.05	2R
224958	2	16	0.05	3L
235989	2	16	0.05	3R
125370	2	16	0.05	X
68254	2	16	0.125	2L
72409	2	16	0.125	2R
105736	2	16	0.125	3L
60737	2	16	0.125	3R
58808	2	16	0.125	X
31636	2	16	0.25	2L
28452	2	16	0.25	2R
50808	2	16	0.25	3L
28140	2	16	0.25	3R
25549	2	16	0.25	X
209570	2	32	0.05	2L
162169	2	32	0.05	2R
189912	2	32	0.05	3L
169126	2	32	0.05	3R
128018	2	32	0.05	X
107657	2	32	0.125	2L
77986	2	32	0.125	2R
73082	2	32	0.125	3L
69155	2	32	0.125	3R
65226	2	32	0.125	X
28188	2	32	0.25	2L
27746	2	32	0.25	2R
35760	2	32	0.25	3L
26148	2	32	0.25	3R
23037	2	32	0.25	X
215926	2	64	0.05	2L
143486	2	64	0.05	2R
201553	2	64	0.05	3L
173205	2	64	0.05	3R
114575	2	64	0.05	X
79386	2	64	0.125	2L
60670	2	64	0.125	2R
84140	2	64	0.125	3L
67411	2	64	0.125	3R
53931	2	64	0.125	X
29882	2	64	0.25	2L
22316	2	64	0.25	2R
29320	2	64	0.25	3L
21530	2	64	0.25	3R
21968	2	64	0.25	X
193289	2	128	0.05	2L
166911	2	128	0.05	2R
204778	2	128	0.05	3L
168006	2	128	0.05	3R
124148	2	128	0.05	X
71211	2	128	0.125	2L
61538	2	128	0.125	2R
79238	2	128	0.125	3L
56560	2	128	0.125	3R
51375	2	128	0.125	X
27267	2	128	0.25	2L
23135	2	128	0.25	2R
30044	2	128	0.25	3L
19939	2	128	0.25	3R
20843	2	128	0.25	X
32263	20	2	0.05	2L
23577	20	2	0.05	2R
26556	20	2	0.05	3L
17947	20	2	0.05	3R
34460	20	2	0.05	X
33716	20	2	0.125	2L
42155	20	2	0.125	2R
29565	20	2	0.125	3L
32223	20	2	0.125	3R
17378	20	2	0.125	X
22753	20	2	0.25	2L
19785	20	2	0.25	2R
31213	20	2	0.25	3L
24695	20	2	0.25	3R
44238	20	2	0.25	X
106610	20	4	0.05	2L
48203	20	4	0.05	2R
89186	20	4	0.05	3L
51922	20	4	0.05	3R
54979	20	4	0.05	X
81940	20	4	0.125	2L
53866	20	4	0.125	2R
77114	20	4	0.125	3L
78345	20	4	0.125	3R
58275	20	4	0.125	X
46059	20	4	0.25	2L
54978	20	4	0.25	2R
100248	20	4	0.25	3L
47614	20	4	0.25	3R
31061	20	4	0.25	X
119938	20	8	0.05	2L
99523	20	8	0.05	2R
126162	20	8	0.05	3L
116812	20	8	0.05	3R
97149	20	8	0.05	X
148839	20	8	0.125	2L
138662	20	8	0.125	2R
135514	20	8	0.125	3L
130075	20	8	0.125	3R
72589	20	8	0.125	X
53912	20	8	0.25	2L
52186	20	8	0.25	2R
33252	20	8	0.25	3L
52341	20	8	0.25	3R
28506	20	8	0.25	X
234250	20	16	0.05	2L
185436	20	16	0.05	2R
191501	20	16	0.05	3L
197995	20	16	0.05	3R
147857	20	16	0.05	X
95298	20	16	0.125	2L
70453	20	16	0.125	2R
66733	20	16	0.125	3L
73977	20	16	0.125	3R
65528	20	16	0.125	X
41388	20	16	0.25	2L
32360	20	16	0.25	2R
40382	20	16	0.25	3L
27568	20	16	0.25	3R
30913	20	16	0.25	X
179000	20	32	0.05	2L
171048	20	32	0.05	2R
211639	20	32	0.05	3L
171851	20	32	0.05	3R
129431	20	32	0.05	X
98791	20	32	0.125	2L
59157	20	32	0.125	2R
86865	20	32	0.125	3L
50641	20	32	0.125	3R
56976	20	32	0.125	X
29867	20	32	0.25	2L
34209	20	32	0.25	2R
35952	20	32	0.25	3L
28604	20	32	0.25	3R
18333	20	32	0.25	X
193242	20	64	0.05	2L
135527	20	64	0.05	2R
200468	20	64	0.05	3L
179491	20	64	0.05	3R
123841	20	64	0.05	X
83333	20	64	0.125	2L
63559	20	64	0.125	2R
83374	20	64	0.125	3L
56882	20	64	0.125	3R
55634	20	64	0.125	X
29060	20	64	0.25	2L
24868	20	64	0.25	2R
31056	20	64	0.25	3L
20654	20	64	0.25	3R
22448	20	64	0.25	X
194175	20	128	0.05	2L
166820	20	128	0.05	2R
203568	20	128	0.05	3L
168096	20	128	0.05	3R
123996	20	128	0.05	X
70840	20	128	0.125	2L
61295	20	128	0.125	2R
80579	20	128	0.125	3L
57421	20	128	0.125	3R
50787	20	128	0.125	X
27229	20	128	0.25	2L
23027	20	128	0.25	2R
29948	20	128	0.25	3L
20169	20	128	0.25	3R
20916	20	128	0.25	X
27219	3	2	0.05	2L
19433	3	2	0.05	2R
56199	3	2	0.05	3L
27524	3	2	0.05	3R
17666	3	2	0.05	X
64504	3	2	0.125	2L
28710	3	2	0.125	2R
30528	3	2	0.125	3L
13103	3	2	0.125	3R
31508	3	2	0.125	X
27784	3	2	0.25	2L
14192	3	2	0.25	2R
38762	3	2	0.25	3L
26175	3	2	0.25	3R
30371	3	2	0.25	X
105873	3	4	0.05	2L
44790	3	4	0.05	2R
62701	3	4	0.05	3L
67906	3	4	0.05	3R
44695	3	4	0.05	X
72849	3	4	0.125	2L
70547	3	4	0.125	2R
48123	3	4	0.125	3L
35357	3	4	0.125	3R
48604	3	4	0.125	X
60250	3	4	0.25	2L
61574	3	4	0.25	2R
80139	3	4	0.25	3L
45524	3	4	0.25	3R
44190	3	4	0.25	X
160371	3	8	0.05	2L
144295	3	8	0.05	2R
140593	3	8	0.05	3L
141715	3	8	0.05	3R
85592	3	8	0.05	X
125175	3	8	0.125	2L
95119	3	8	0.125	2R
95305	3	8	0.125	3L
82748	3	8	0.125	3R
82398	3	8	0.125	X
55760	3	8	0.25	2L
47999	3	8	0.25	2R
64694	3	8	0.25	3L
44175	3	8	0.25	3R
33649	3	8	0.25	X
231968	3	16	0.05	2L
143390	3	16	0.05	2R
291173	3	16	0.05	3L
183238	3	16	0.05	3R
155178	3	16	0.05	X
78859	3	16	0.125	2L
72600	3	16	0.125	2R
110906	3	16	0.125	3L
104908	3	16	0.125	3R
64779	3	16	0.125	X
37362	3	16	0.25	2L
27586	3	16	0.25	2R
46050	3	16	0.25	3L
34298	3	16	0.25	3R
27906	3	16	0.25	X
219782	3	32	0.05	2L
155082	3	32	0.05	2R
190687	3	32	0.05	3L
170236	3	32	0.05	3R
125236	3	32	0.05	X
95479	3	32	0.125	2L
72009	3	32	0.125	2R
79229	3	32	0.125	3L
61550	3	32	0.125	3R
59123	3	32	0.125	X
34771	3	32	0.25	2L
25003	3	32	0.25	2R
38916	3	32	0.25	3L
23745	3	32	0.25	3R
23536	3	32	0.25	X
216063	3	64	0.05	2L
185798	3	64	0.05	2R
204890	3	64	0.05	3L
168473	3	64	0.05	3R
119023	3	64	0.05	X
71541	3	64	0.125	2L
76564	3	64	0.125	2R
91298	3	64	0.125	3L
65523	3	64	0.125	3R
50923	3	64	0.125	X
27776	3	64	0.25	2L
24609	3	64	0.25	2R
30710	3	64	0.25	3L
21856	3	64	0.25	3R
22308	3	64	0.25	X
192505	3	128	0.05	2L
167578	3	128	0.05	2R
201113	3	128	0.05	3L
168859	3	128	0.05	3R
124010	3	128	0.05	X
71598	3	128	0.125	2L
61531	3	128	0.125	2R
80511	3	128	0.125	3L
57071	3	128	0.125	3R
51123	3	128	0.125	X
27415	3	128	0.25	2L
23134	3	128	0.25	2R
30038	3	128	0.25	3L
20056	3	128	0.25	3R
20917	3	128	0.25	X
45533	4	2	0.05	2L
11515	4	2	0.05	2R
61121	4	2	0.05	3L
24655	4	2	0.05	3R
13348	4	2	0.05	X
19510	4	2	0.125	2L
23798	4	2	0.125	2R
25000	4	2	0.125	3L
34698	4	2	0.125	3R
22138	4	2	0.125	X
28174	4	2	0.25	2L
25401	4	2	0.25	2R
18827	4	2	0.25	3L
35327	4	2	0.25	3R
23642	4	2	0.25	X
81604	4	4	0.05	2L
74665	4	4	0.05	2R
49535	4	4	0.05	3L
43543	4	4	0.05	3R
40896	4	4	0.05	X
56170	4	4	0.125	2L
51996	4	4	0.125	2R
42163	4	4	0.125	3L
87705	4	4	0.125	3R
43318	4	4	0.125	X
103072	4	4	0.25	2L
79752	4	4	0.25	2R
68228	4	4	0.25	3L
48720	4	4	0.25	3R
61024	4	4	0.25	X
185562	4	8	0.05	2L
118278	4	8	0.05	2R
133259	4	8	0.05	3L
109110	4	8	0.05	3R
96836	4	8	0.05	X
134906	4	8	0.125	2L
203282	4	8	0.125	2R
94986	4	8	0.125	3L
76836	4	8	0.125	3R
85129	4	8	0.125	X
53587	4	8	0.25	2L
31377	4	8	0.25	2R
41478	4	8	0.25	3L
41420	4	8	0.25	3R
28654	4	8	0.25	X
212975	4	16	0.05	2L
184965	4	16	0.05	2R
254105	4	16	0.05	3L
166796	4	16	0.05	3R
119346	4	16	0.05	X
118297	4	16	0.125	2L
73500	4	16	0.125	2R
125022	4	16	0.125	3L
74846	4	16	0.125	3R
80548	4	16	0.125	X
49010	4	16	0.25	2L
30192	4	16	0.25	2R
43244	4	16	0.25	3L
29267	4	16	0.25	3R
32985	4	16	0.25	X
194827	4	32	0.05	2L
162989	4	32	0.05	2R
217509	4	32	0.05	3L
197997	4	32	0.05	3R
121882	4	32	0.05	X
73226	4	32	0.125	2L
71748	4	32	0.125	2R
88729	4	32	0.125	3L
66152	4	32	0.125	3R
56449	4	32	0.125	X
30696	4	32	0.25	2L
25211	4	32	0.25	2R
40690	4	32	0.25	3L
27362	4	32	0.25	3R
25357	4	32	0.25	X
190015	4	64	0.05	2L
183456	4	64	0.05	2R
211240	4	64	0.05	3L
175331	4	64	0.05	3R
132980	4	64	0.05	X
86260	4	64	0.125	2L
64904	4	64	0.125	2R
80382	4	64	0.125	3L
63522	4	64	0.125	3R
48811	4	64	0.125	X
30953	4	64	0.25	2L
27251	4	64	0.25	2R
32984	4	64	0.25	3L
20131	4	64	0.25	3R
21126	4	64	0.25	X
192139	4	128	0.05	2L
166387	4	128	0.05	2R
205626	4	128	0.05	3L
165947	4	128	0.05	3R
123979	4	128	0.05	X
70850	4	128	0.125	2L
61528	4	128	0.125	2R
80424	4	128	0.125	3L
56998	4	128	0.125	3R
51243	4	128	0.125	X
26983	4	128	0.25	2L
23084	4	128	0.25	2R
29967	4	128	0.25	3L
19972	4	128	0.25	3R
20834	4	128	0.25	X
40713	5	2	0.05	2L
34830	5	2	0.05	2R
56910	5	2	0.05	3L
29344	5	2	0.05	3R
15569	5	2	0.05	X
33143	5	2	0.125	2L
22536	5	2	0.125	2R
43315	5	2	0.125	3L
30065	5	2	0.125	3R
19212	5	2	0.125	X
50904	5	2	0.25	2L
20530	5	2	0.25	2R
19561	5	2	0.25	3L
29243	5	2	0.25	3R
17177	5	2	0.25	X
63104	5	4	0.05	2L
41511	5	4	0.05	2R
93953	5	4	0.05	3L
53583	5	4	0.05	3R
53645	5	4	0.05	X
111869	5	4	0.125	2L
57647	5	4	0.125	2R
64091	5	4	0.125	3L
91985	5	4	0.125	3R
59979	5	4	0.125	X
58281	5	4	0.25	2L
39468	5	4	0.25	2R
65647	5	4	0.25	3L
51587	5	4	0.25	3R
28056	5	4	0.25	X
118156	5	8	0.05	2L
87676	5	8	0.05	2R
145633	5	8	0.05	3L
113445	5	8	0.05	3R
73375	5	8	0.05	X
118721	5	8	0.125	2L
110184	5	8	0.125	2R
175048	5	8	0.125	3L
94598	5	8	0.125	3R
100789	5	8	0.125	X
43478	5	8	0.25	2L
31808	5	8	0.25	2R
43120	5	8	0.25	3L
30117	5	8	0.25	3R
36471	5	8	0.25	X
276192	5	16	0.05	2L
170798	5	16	0.05	2R
215382	5	16	0.05	3L
186102	5	16	0.05	3R
111469	5	16	0.05	X
121851	5	16	0.125	2L
113542	5	16	0.125	2R
115464	5	16	0.125	3L
77460	5	16	0.125	3R
52088	5	16	0.125	X
40444	5	16	0.25	2L
30073	5	16	0.25	2R
32998	5	16	0.25	3L
38512	5	16	0.25	3R
31932	5	16	0.25	X
217824	5	32	0.05	2L
160828	5	32	0.05	2R
199048	5	32	0.05	3L
154543	5	32	0.05	3R
105037	5	32	0.05	X
64887	5	32	0.125	2L
70659	5	32	0.125	2R
79487	5	32	0.125	3L
62733	5	32	0.125	3R
65497	5	32	0.125	X
28633	5	32	0.25	2L
27174	5	32	0.25	2R
34329	5	32	0.25	3L
24058	5	32	0.25	3R
26283	5	32	0.25	X
193650	5	64	0.05	2L
163119	5	64	0.05	2R
195210	5	64	0.05	3L
175241	5	64	0.05	3R
127108	5	64	0.05	X
71748	5	64	0.125	2L
63409	5	64	0.125	2R
83644	5	64	0.125	3L
65012	5	64	0.125	3R
50825	5	64	0.125	X
28385	5	64	0.25	2L
24280	5	64	0.25	2R
33848	5	64	0.25	3L
21362	5	64	0.25	3R
20019	5	64	0.25	X
194415	5	128	0.05	2L
167149	5	128	0.05	2R
204880	5	128	0.05	3L
168627	5	128	0.05	3R
124073	5	128	0.05	X
71585	5	128	0.125	2L
61160	5	128	0.125	2R
80408	5	128	0.125	3L
57377	5	128	0.125	3R
51185	5	128	0.125	X
26993	5	128	0.25	2L
23086	5	128	0.25	2R
29653	5	128	0.25	3L
20174	5	128	0.25	3R
20906	5	128	0.25	X
26490	6	2	0.05	2L
46305	6	2	0.05	2R
33788	6	2	0.05	3L
16154	6	2	0.05	3R
21360	6	2	0.05	X
29635	6	2	0.125	2L
20655	6	2	0.125	2R
33063	6	2	0.125	3L
21840	6	2	0.125	3R
27155	6	2	0.125	X
29051	6	2	0.25	2L
18696	6	2	0.25	2R
40575	6	2	0.25	3L
31067	6	2	0.25	3R
33363	6	2	0.25	X
70517	6	4	0.05	2L
45106	6	4	0.05	2R
86020	6	4	0.05	3L
67410	6	4	0.05	3R
55168	6	4	0.05	X
60576	6	4	0.125	2L
55394	6	4	0.125	2R
87902	6	4	0.125	3L
52499	6	4	0.125	3R
49936	6	4	0.125	X
69069	6	4	0.25	2L
73931	6	4	0.25	2R
51245	6	4	0.25	3L
85630	6	4	0.25	3R
50145	6	4	0.25	X
142491	6	8	0.05	2L
208559	6	8	0.05	2R
100097	6	8	0.05	3L
100352	6	8	0.05	3R
82485	6	8	0.05	X
140143	6	8	0.125	2L
123492	6	8	0.125	2R
173152	6	8	0.125	3L
161317	6	8	0.125	3R
88747	6	8	0.125	X
45174	6	8	0.25	2L
38991	6	8	0.25	2R
54495	6	8	0.25	3L
36000	6	8	0.25	3R
35875	6	8	0.25	X
244160	6	16	0.05	2L
257940	6	16	0.05	2R
246341	6	16	0.05	3L
181602	6	16	0.05	3R
141599	6	16	0.05	X
120839	6	16	0.125	2L
74223	6	16	0.125	2R
107727	6	16	0.125	3L
95921	6	16	0.125	3R
63222	6	16	0.125	X
28721	6	16	0.25	2L
34814	6	16	0.25	2R
46233	6	16	0.25	3L
26198	6	16	0.25	3R
29009	6	16	0.25	X
173234	6	32	0.05	2L
145086	6	32	0.05	2R
228031	6	32	0.05	3L
175273	6	32	0.05	3R
132348	6	32	0.05	X
86704	6	32	0.125	2L
75948	6	32	0.125	2R
99485	6	32	0.125	3L
57543	6	32	0.125	3R
60723	6	32	0.125	X
30172	6	32	0.25	2L
31731	6	32	0.25	2R
38858	6	32	0.25	3L
20585	6	32	0.25	3R
20375	6	32	0.25	X
181808	6	64	0.05	2L
155873	6	64	0.05	2R
207296	6	64	0.05	3L
179059	6	64	0.05	3R
126250	6	64	0.05	X
72833	6	64	0.125	2L
71628	6	64	0.125	2R
76931	6	64	0.125	3L
61279	6	64	0.125	3R
53079	6	64	0.125	X
28308	6	64	0.25	2L
25394	6	64	0.25	2R
32445	6	64	0.25	3L
22408	6	64	0.25	3R
22073	6	64	0.25	X
194030	6	128	0.05	2L
167468	6	128	0.05	2R
204705	6	128	0.05	3L
168286	6	128	0.05	3R
122823	6	128	0.05	X
71841	6	128	0.125	2L
61544	6	128	0.125	2R
79479	6	128	0.125	3L
57103	6	128	0.125	3R
51180	6	128	0.125	X
27157	6	128	0.25	2L
23137	6	128	0.25	2R
30078	6	128	0.25	3L
20024	6	128	0.25	3R
20936	6	128	0.25	X
31488	7	2	0.05	2L
46019	7	2	0.05	2R
27392	7	2	0.05	3L
26347	7	2	0.05	3R
15796	7	2	0.05	X
31253	7	2	0.125	2L
37798	7	2	0.125	2R
49574	7	2	0.125	3L
18026	7	2	0.125	3R
18010	7	2	0.125	X
39250	7	2	0.25	2L
17705	7	2	0.25	2R
21117	7	2	0.25	3L
35189	7	2	0.25	3R
24684	7	2	0.25	X
63906	7	4	0.05	2L
58226	7	4	0.05	2R
78187	7	4	0.05	3L
76485	7	4	0.05	3R
54986	7	4	0.05	X
87128	7	4	0.125	2L
57951	7	4	0.125	2R
68056	7	4	0.125	3L
44585	7	4	0.125	3R
38809	7	4	0.125	X
55530	7	4	0.25	2L
64901	7	4	0.25	2R
101093	7	4	0.25	3L
83832	7	4	0.25	3R
48640	7	4	0.25	X
119245	7	8	0.05	2L
104976	7	8	0.05	2R
121896	7	8	0.05	3L
117704	7	8	0.05	3R
96631	7	8	0.05	X
145840	7	8	0.125	2L
76497	7	8	0.125	2R
157387	7	8	0.125	3L
87256	7	8	0.125	3R
71921	7	8	0.125	X
50563	7	8	0.25	2L
38482	7	8	0.25	2R
63022	7	8	0.25	3L
34561	7	8	0.25	3R
39418	7	8	0.25	X
249503	7	16	0.05	2L
199706	7	16	0.05	2R
228010	7	16	0.05	3L
167890	7	16	0.05	3R
149357	7	16	0.05	X
95517	7	16	0.125	2L
125108	7	16	0.125	2R
115110	7	16	0.125	3L
76978	7	16	0.125	3R
57761	7	16	0.125	X
42397	7	16	0.25	2L
25713	7	16	0.25	2R
36240	7	16	0.25	3L
28196	7	16	0.25	3R
29193	7	16	0.25	X
172284	7	32	0.05	2L
194237	7	32	0.05	2R
200374	7	32	0.05	3L
152060	7	32	0.05	3R
127936	7	32	0.05	X
83900	7	32	0.125	2L
71969	7	32	0.125	2R
96585	7	32	0.125	3L
64046	7	32	0.125	3R
55798	7	32	0.125	X
29122	7	32	0.25	2L
30645	7	32	0.25	2R
38381	7	32	0.25	3L
21950	7	32	0.25	3R
24475	7	32	0.25	X
202323	7	64	0.05	2L
141199	7	64	0.05	2R
199086	7	64	0.05	3L
164947	7	64	0.05	3R
133701	7	64	0.05	X
73951	7	64	0.125	2L
67998	7	64	0.125	2R
77633	7	64	0.125	3L
63287	7	64	0.125	3R
52241	7	64	0.125	X
29637	7	64	0.25	2L
24599	7	64	0.25	2R
33208	7	64	0.25	3L
22260	7	64	0.25	3R
20633	7	64	0.25	X
193133	7	128	0.05	2L
166242	7	128	0.05	2R
204499	7	128	0.05	3L
168793	7	128	0.05	3R
123824	7	128	0.05	X
71555	7	128	0.125	2L
61341	7	128	0.125	2R
80733	7	128	0.125	3L
57273	7	128	0.125	3R
50934	7	128	0.125	X
27406	7	128	0.25	2L
23156	7	128	0.25	2R
29811	7	128	0.25	3L
20266	7	128	0.25	3R
20883	7	128	0.25	X
42825	8	2	0.05	2L
25384	8	2	0.05	2R
36091	8	2	0.05	3L
31322	8	2	0.05	3R
29014	8	2	0.05	X
44977	8	2	0.125	2L
43082	8	2	0.125	2R
19289	8	2	0.125	3L
37170	8	2	0.125	3R
16087	8	2	0.125	X
23906	8	2	0.25	2L
15665	8	2	0.25	2R
16467	8	2	0.25	3L
22033	8	2	0.25	3R
19552	8	2	0.25	X
49240	8	4	0.05	2L
73213	8	4	0.05	2R
49138	8	4	0.05	3L
62943	8	4	0.05	3R
40803	8	4	0.05	X
80893	8	4	0.125	2L
49342	8	4	0.125	2R
72291	8	4	0.125	3L
60301	8	4	0.125	3R
69115	8	4	0.125	X
59766	8	4	0.25	2L
56121	8	4	0.25	2R
76454	8	4	0.25	3L
67744	8	4	0.25	3R
35216	8	4	0.25	X
105145	8	8	0.05	2L
78892	8	8	0.05	2R
124123	8	8	0.05	3L
88889	8	8	0.05	3R
91103	8	8	0.05	X
175716	8	8	0.125	2L
220884	8	8	0.125	2R
143133	8	8	0.125	3L
143499	8	8	0.125	3R
75368	8	8	0.125	X
40259	8	8	0.25	2L
30013	8	8	0.25	2R
39163	8	8	0.25	3L
46214	8	8	0.25	3R
38208	8	8	0.25	X
208965	8	16	0.05	2L
153135	8	16	0.05	2R
294394	8	16	0.05	3L
190390	8	16	0.05	3R
133323	8	16	0.05	X
84993	8	16	0.125	2L
88566	8	16	0.125	2R
81715	8	16	0.125	3L
81936	8	16	0.125	3R
62285	8	16	0.125	X
30449	8	16	0.25	2L
29774	8	16	0.25	2R
35328	8	16	0.25	3L
28720	8	16	0.25	3R
32740	8	16	0.25	X
213058	8	32	0.05	2L
156535	8	32	0.05	2R
210134	8	32	0.05	3L
155940	8	32	0.05	3R
130883	8	32	0.05	X
73870	8	32	0.125	2L
75607	8	32	0.125	2R
110109	8	32	0.125	3L
59912	8	32	0.125	3R
50970	8	32	0.125	X
31053	8	32	0.25	2L
33218	8	32	0.25	2R
32836	8	32	0.25	3L
22509	8	32	0.25	3R
26538	8	32	0.25	X
207613	8	64	0.05	2L
183858	8	64	0.05	2R
214361	8	64	0.05	3L
158017	8	64	0.05	3R
119979	8	64	0.05	X
83746	8	64	0.125	2L
56100	8	64	0.125	2R
83721	8	64	0.125	3L
62395	8	64	0.125	3R
60642	8	64	0.125	X
33017	8	64	0.25	2L
27279	8	64	0.25	2R
31108	8	64	0.25	3L
21362	8	64	0.25	3R
22126	8	64	0.25	X
194175	8	128	0.05	2L
165008	8	128	0.05	2R
206021	8	128	0.05	3L
167114	8	128	0.05	3R
124321	8	128	0.05	X
71612	8	128	0.125	2L
61273	8	128	0.125	2R
80179	8	128	0.125	3L
57106	8	128	0.125	3R
51259	8	128	0.125	X
27298	8	128	0.25	2L
23015	8	128	0.25	2R
29572	8	128	0.25	3L
20213	8	128	0.25	3R
20889	8	128	0.25	X
26718	9	2	0.05	2L
36756	9	2	0.05	2R
41124	9	2	0.05	3L
15465	9	2	0.05	3R
24555	9	2	0.05	X
30036	9	2	0.125	2L
21787	9	2	0.125	2R
41807	9	2	0.125	3L
28948	9	2	0.125	3R
28895	9	2	0.125	X
48393	9	2	0.25	2L
112025	9	2	0.25	2R
19274	9	2	0.25	3L
19528	9	2	0.25	3R
14410	9	2	0.25	X
64581	9	4	0.05	2L
82354	9	4	0.05	2R
122790	9	4	0.05	3L
80606	9	4	0.05	3R
40683	9	4	0.05	X
48983	9	4	0.125	2L
46530	9	4	0.125	2R
114162	9	4	0.125	3L
66136	9	4	0.125	3R
